2026-09-24 12:50:11 INFO     Redirecting /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpg?t=2-e623053d96158217aa09cf77459cdd3ad8ec2883-1790330854-1&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets%2Fmesh_tiles&crop=512,512,x0.5,y0.75&imgopt=1 => /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.5,y0.75.jpg as dollhouse/floorplan texture request that we have downloaded, better than generic texture file
2026-09-24 12:50:11 INFO     Redirecting /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpg?t=2-e623053d96158217aa09cf77459cdd3ad8ec2883-1790330854-1&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets%2Fmesh_tiles&crop=512,512,x0.75,y0&imgopt=1 => /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.75,y0.jpg as dollhouse/floorplan texture request that we have downloaded, better than generic texture file
2026-09-24 12:50:11 INFO     Redirecting /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpg?t=2-e623053d96158217aa09cf77459cdd3ad8ec2883-1790330854-1&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets%2Fmesh_tiles&crop=512,512,x0.75,y0.25&imgopt=1 => /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.75,y0.25.jpg as dollhouse/floorplan texture request that we have downloaded, better than generic texture file
2026-09-24 12:50:11 INFO     Redirecting /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpg?t=2-e623053d96158217aa09cf77459cdd3ad8ec2883-1790330854-1&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets%2Fmesh_tiles&crop=512,512,x0.75,y0.5&imgopt=1 => /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.75,y0.5.jpg as dollhouse/floorplan texture request that we have downloaded, better than generic texture file
2026-09-24 12:50:11 INFO     Redirecting /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpg?t=2-e623053d96158217aa09cf77459cdd3ad8ec2883-1790330854-1&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets%2Fmesh_tiles&crop=512,512,x0.75,y0.75&imgopt=1 => /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.75,y0.75.jpg as dollhouse/floorplan texture request that we have downloaded, better than generic texture file
2026-09-24 12:50:13 WARNING  ###### 404 error: /models/7b65e66514b54366b3a13fe422755cf4/assets/~/tiles/24e22ba9967b4df89aec88a28e428063/512_face0_0_0.jpg?t=2-fd616b3c67c7b234be37ef4d9581340a7cf7233b-1790330854-0&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets&imgopt=1 may not be downloading everything right
2026-09-24 12:50:13 WARNING  ###### 404 error: /models/7b65e66514b54366b3a13fe422755cf4/assets/~/tiles/24e22ba9967b4df89aec88a28e428063/512_face1_0_0.jpg?t=2-fd616b3c67c7b234be37ef4d9581340a7cf7233b-1790330854-0&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets&imgopt=1 may not be downloading everything right
2026-09-24 12:50:13 WARNING  ###### 404 error: /models/7b65e66514b54366b3a13fe422755cf4/assets/~/tiles/24e22ba9967b4df89aec88a28e428063/512_face2_0_0.jpg?t=2-fd616b3c67c7b234be37ef4d9581340a7cf7233b-1790330854-0&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets&imgopt=1 may not be downloading everything right
2026-09-24 12:50:13 WARNING  ###### 404 error: /models/7b65e66514b54366b3a13fe422755cf4/assets/~/tiles/24e22ba9967b4df89aec88a28e428063/512_face3_0_0.jpg?t=2-fd616b3c67c7b234be37ef4d9581340a7cf7233b-1790330854-0&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets&imgopt=1 may not be downloading everything right
2026-09-24 12:50:13 WARNING  ###### 404 error: /models/7b65e66514b54366b3a13fe422755cf4/assets/~/tiles/24e22ba9967b4df89aec88a28e428063/512_face4_0_0.jpg?t=2-fd616b3c67c7b234be37ef4d9581340a7cf7233b-1790330854-0&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets&imgopt=1 may not be downloading everything right
